title,journal,publish_time,abstract
COVID Study 1,Nature,2020-05-01,Study on vaccines
COVID Study 2,Science,2021-06-10,Study on variants
COVID Study 3,Lancet,2020-08-15,Study on masks
COVID Study 4,BMJ,2021-01-22,Study on testing
COVID Study 5,Cell,2020-12-12,Study on immunity
COVID Study 6,NEJM,2020-07-07,Study on treatments
COVID Study 7,JAMA,2021-03-18,Study on spread
COVID Study 8,PLOS One,2020-09-05,Study on severity
COVID Study 9,Nature,2021-04-14,Study on long COVID
COVID Study 10,Science,2020-11-20,Study on mutations
